CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT
"638","c. de Sant Antoni","20","La Llar del Llibre","books","comerç","41.5482098","2.1076778","http://www.llardellibre.cat","+34 927255959","Mo-Fr 09:00-14:00, 16:30-20:30; Sa 09:00-11:00, 12:00-14:00","OSM"
"598","c. de Sant Vicenç","80","Sorli Discau","supermarket","comerç","41.5517155","2.1012664","https://www.sorlidiscau.es","+34 937156612","Mo-Sa 09:00-21:00","OSM"
"638","c. de Sant Antoni","5","Cafés PONT","coffee","comerç","41.5483227","2.1080186","https://www.cafespont.com/tienda-st-antoni/","+34 937260546","Mo-Sa 08:00-14:00, 15:30-20:30","OSM"
"1005","c. de Manuel de Falla","16","Servicios de Ferretería VIPE","hardware","comerç","41.5485493","2.0897802","","+34 937451095","Mo-Fr 08:00-13:00, 15:00-19:00; Sa 09:00-13:30","OSM"
"938","c. de Miquel Àngel","15","Papeleria Cristina","stationery","comerç","41.5483509","2.0870243","","+34 937276793","Mo-Fr 07:30-13:30, 17:00-20:00; Sa 07:30-13:30; Su 08:30-13:30","OSM"
"1151","c. de la Indústria","34","Sorli Discau","supermarket","comerç","41.5473691","2.1134845","https://www.sorli.com","+34 935610360","Mo-Sa 08:45-20:45","OSM"
"1151","c. de la Indústria","30","","post_office","equipament","41.5472522","2.1122201","https://www.correos.es/","+34 902197197","Mo-Fr 08:30-20:30; Sa 09:30-13:00","OSM"
"617","c. de Sant Joan","35","Aliance Française de Sabadell","language_school","equipament","41.5475012","2.1098","https://www.afsabadell.org/","+34 937269644","Mo-Fr 10:00-13:00, 16:00-21:00; Sa 10:00-13:00","OSM"
"638","c. de Sant Antoni","27","Ho fem a Mida","furniture","comerç","41.5479815","2.1074228","https://www.hofemamida.com/","+34 930091870","Mo-Sa 09:30-13:30, 16:30-20:30","OSM"
"1165","c. de Gustavo Adolfo Bécquer","117","Charter","supermarket","comerç","41.5517716","2.0821353","https://www.consum.es/supermercados/sabadell-becquer/","+34 937 20 34 62","Mo-Sa 09:00-21:30","OSM"
"569","c. de Sol i Padrís","116","Farmàcia Capdevila Bassols, Anna M.","pharmacy","equipament","41.5353796","2.1194049","","+34937122574","","OSM"
"11816","pl. de l' Imperial","2","MR. UNDÉCIMO","restaurant","equipament","41.5409563","2.112175","https://mrundecimo.com/","+34936035928","mo-su 13:00-23:30","OSM"
"767","rda. de Ponent","172","Atelier Descans","furniture","comerç","41.5492238","2.0987259","https://atelierdescans.com/","+34 931 05 07 11","Tu-Sa 10:00-13:30; Tu-Fr 17:00-20:30; Mo 17:00-20:30","OSM"
"767","rda. de Ponent","1","Farmàcia Corominas Riqué, Cristina","pharmacy","equipament","41.5448666","2.0996551","","+34937269704","","OSM"
"659","c. de Sallarès i Pla","140","Farmàcia Garriga Majo, Marta","pharmacy","equipament","41.5424785","2.1139767","","+34937259757","","OSM"
"659","c. de Sallarès i Pla","4","Tesorería General de la Seguridad Social","government","oficina","41.5461163","2.1118579","","","","OSM"
"1370","raval de Dins","17","Consulta Dra. Imma Viñolas","doctors","equipament","41.5497711","2.1081885","https://www.draimmavinolas.com/","","Mo-Su 09:00-18:00","OSM"
"1538","c. de Borràs","8","Farmàcia Garrell Capdevila, Joan","pharmacy","equipament","41.5516125","2.1036518","","","PH,Mo-Su 09:00-22:00","OSM"
"714","c. dels Reis Catòlics","149","Mudanzas Guerrero","moving_company","oficina","41.5229937","2.1157063","https://mudanzasguerrero.es/","","Mo-Fr 09:00-19:00","OSM"
"1296","av. d' Estrasburg","74","Parrilla 380","restaurant","equipament","41.5616919","2.0840423","","","","OSM"
"1588","av. de Barberà","382","Casa Antonia","clothes","comerç","41.5306732","2.1166094","","+34 937102611","Mo-Sa 09:00-21:00","OSM"
"474","c. de Vidal","146","Servei d'informació i atenció a les dones (SIAD) de Sabadell","social_facility","equipament","41.55398","2.11259","","+34 937 246167","","OSM"
"474","c. de Vidal","146","SAI Sabadell (local)","social_facility","equipament","41.554097","2.1124621","","+34 937 246167; +34 937 246168","","OSM"
"1649","c. d' Àngel Guimerà","25","Farrés Junyent Assessors","lawyer","oficina","41.5446264","2.1082833","https://www.farresjunyent.es/","+34 937270523","Mo-Th 09:00-13:30, 16:00-19:00; Fr 09:00-14:00","OSM"
"756","ctra. de Prats de Lluçanès","84-89","Farmàcia Torres Costa, L. / Matarranz Torres, L.","pharmacy","equipament","41.5569889","2.1020879","","+34937161383","Mo-Fr 09:00-13:30,16:45-20:15+; PH,Su off; Sa 09:00-13:30,16:45-20:15; Sa off","OSM"
"1233","av. de Francesc Macià","38","Contenidos Click","company","oficina","41.552789","2.0984058","https://contenidosclick.es","+34 635012018","Mo-Fr 09:00-18:00","OSM"
"1233","av. de Francesc Macià","38","Contenidos Click","company","oficina","41.5528021","2.0983749","https://contenidosclick.es","+34 930129708","Mo-Fr 09:00-19:00","OSM"
"1329","c. d' Elcano","79","Isabdaretillo","hardware","comerç","41.5267896","2.1140717","","","Mo-Sa 09:00-13:00","OSM"
"1537","c. de Borrell","35","M & S Perruquers","hairdresser","comerç","41.5412461","2.1147164","","+34 937 275 762","","OSM"
"1537","c. de Borrell","86","Papanatas","bar","equipament","41.5411452","2.1150476","","+34 675490377","","OSM"
"985","c. de Marià Fortuny","10","CalaBoca","restaurant","equipament","41.548527","2.1090319","","+34 931937323","","OSM"
"1184","c. de Gràcia","16","El Grazia","restaurant","equipament","41.5474673","2.107521","","+34 937 25 43 63","","OSM"
"1256","c. d'en Font","2","Colón","bar","equipament","41.5469911","2.1055757","","+34 937 25 01 20","","OSM"
"491","c. de les Valls","10","Diari de Sabadell","newspaper","oficina","41.5490949","2.1078488","","","","OSM"
"9313","c. de Can Mimó","25","Serret Mobles a Mida, S.L.","joiner","taller","41.5407887","2.137614","https://www.serretmoblesamida.com/","+34 937 45 90 67","Mo-Fr 09:00-17:00","OSM"
"637","c. de Sant Antoni Maria Claret","15","Maximmus Pizzeria Napoletana","restaurant","equipament","41.5465271","2.1096379","https://www.maximmus.es","+34 683118819","We-Su 13:00-16:00,20:00-24:00","OSM"
"1445","c. de Cervantes","2","Centros H2O","beauty","comerç","41.5417794","2.1109701","https://www.centrosh2o.com/","+34610111694","Mo-Fr 10:00-21:00; Sa 10:00-14:00","OSM"
"1622","c. d' Arimon","51","Casa","guest_house","turisme","41.5507203","2.1133372","","+34 937279497","","OSM"
"1697","c. d' Àger","6","Mercadona","supermarket","comerç","41.5709492","2.0820138","","","","OSM"
"965","av. de Matadepera","","Caixabank","bank","equipament","41.5699127","2.0851788","https://www.caixabank.es","","","OSM"
"1429","rda. de Collsalarca","","Sorli Discau","supermarket","comerç","41.5700832","2.0855945","","","","OSM"
"1429","rda. de Collsalarca","","La Sirena","frozen_food","comerç","41.5702438","2.0859432","https://www.lasirena.es/","","","OSM"
"1543","c. de la Bonaigua","","Locutorio","mobile_phone","comerç","41.5689013","2.0875606","","","","OSM"
"1543","c. de la Bonaigua","","Fruitadona","greengrocer","comerç","41.5693026","2.0886388","","","","OSM"
"1543","c. de la Bonaigua","","Charter","supermarket","comerç","41.5694732","2.0888078","https://www.consum.es/supermercados/sabadell-bonaigua/","","","OSM"
"1466","c. del Carme","10","Farmàcia Bagan Tapioles, Montserrat","pharmacy","equipament","41.5487159","2.1113324","","+34937250303","","OSM"
"469","c. de Viladomat","20-24","Farmàcia Mujal Viñals, Assumpció","pharmacy","equipament","41.5400118","2.1049833","","+34937100543","","OSM"
"1588","av. de Barberà","226","Farmàcia Bofi Martinez, Patricia","pharmacy","equipament","41.5350045","2.114534","","+34938545286","","OSM"
"978","pl. de Marquilles","4","Farmàcia Pons Samaranch, Isabel","pharmacy","equipament","41.5460525","2.1056977","","+34937256745","PH,Mo-Su 09:00-22:00","OSM"
"1674","via Alexandra","37","Farmàcia Puig Camarero, Lluis","pharmacy","equipament","41.5550041","2.0875782","","","","OSM"
"507","c. de València","19","Farmàcia Martín Poveda, Ma. Dolores","pharmacy","equipament","41.5657766","2.0957131","","+34937166238","","OSM"
"1009","c. de Malta","70","Farmàcia Busquet Mitjà, M. Àngels","pharmacy","equipament","41.5470038","2.0836812","","+34937204911","","OSM"
"1587","ctra. de Barcelona","219","Farmàcia Montané Bombardó, Glòria","pharmacy","equipament","41.5386801","2.1077842","","+34937260539","","OSM"
"1609","pl. de Còrdova","14-15","Farmàcia Franco García, M. Pilar","pharmacy","equipament","41.5609502","2.0826251","","+34937465026","","OSM"
"560","c. de Tàcit","1","Farmàcia Borrás Urtubia, Teresa","pharmacy","equipament","41.5513339","2.0853661","","+34937161120","","OSM"
"470","c. de Vila Cinca","89","Farmàcia Escarra Caldes, Pere","pharmacy","equipament","41.5562216","2.1051443","","+34937162311","","OSM"
"1587","ctra. de Barcelona","74","Farmàcia Marcet Vicens, Jordi","pharmacy","equipament","41.541889","2.1043095","","+34937478020","","OSM"
"1524","c. de Brutau","187","Farmàcia Montserrat Marco, M. Antònia","pharmacy","equipament","41.5379091","2.1164587","","+34937103645","","OSM"
"770","av. de Polinyà","65","Farmàcia Borja Fernandez, Laia","pharmacy","equipament","41.5611258","2.12868","","+34937252920","","OSM"
"780","pg. de la Plaça Major","29","Farmàcia Anna Garriga Majó","pharmacy","equipament","41.5475242","2.1084229","","+34937255353","","OSM"
"1444","c. de Cèsar Torras","132","Farmàcia Blanchart Tintó, Meritxell","pharmacy","equipament","41.5408286","2.0959904","","+34937267104","","OSM"
"1260","c. Florit","28","Farmàcia Tous Geulen, Josep M.","pharmacy","equipament","41.56262","2.1034496","","+34937168458","","OSM"
"621","c. de Sant Isidor","80","Farmàcia Mora Palà, Mireia","pharmacy","equipament","41.5525699","2.0828473","","+34937163052","","OSM"
"641","rda. de Santa Maria","28 A","Farmàcia Esteban, M. Teresa - Lopera, M. Teresa","pharmacy","equipament","41.5318087","2.1212239","","+34937102295","","OSM"
"1590","c. de Balmes","83-85","Farmàcia Sala Alegre, E. - Roca Huergo, S.I.","pharmacy","equipament","41.5406821","2.1188733","","+34937270594","","OSM"
"1588","av. de Barberà","299","Farmàcia Fàbregas Martínez, Marta","pharmacy","equipament","41.5321623","2.1161845","","+34937101337","","OSM"
"1588","av. de Barberà","48","Farmàcia Rosell Gras, Maria","pharmacy","equipament","41.5382021","2.1129724","","+34937101343","","OSM"
"542","ctra. de Terrassa","316","Farmàcia Gadea Melo, Olga","pharmacy","equipament","41.5471264","2.0902055","","+34937262371","","OSM"
"839","av. dels Paraires","26","Farmàcia Grimalt Sancho, J - Vives Grimalt, MP","pharmacy","equipament","41.5550314","2.0938334","","+34937165113","","OSM"
"549","c. de Tenerife","52","Farmàcia Manent Margarit, Meritxell","pharmacy","equipament","41.5449011","2.0874707","","+34937264420","","OSM"
"631","c. de Sant Cugat","95","Farmàcia Merce Sora, Anabel","pharmacy","equipament","41.5441024","2.1036801","","+34937254325","","OSM"
"1427","c. de Colom","13","Farmàcia Crusafont Sabaté, Anna M.","pharmacy","equipament","41.5469636","2.1054543","","+34937250777","","OSM"
"542","ctra. de Terrassa","377","Farmàcia Carrera Graño, Rosa Maria","pharmacy","equipament","41.5481955","2.0853367","","+34937264449","","OSM"
"1065","c. de la Llanera","93","Farmàcia Bonet Ortiz, M. Teresa","pharmacy","equipament","41.5694743","2.0916567","","+34937167133","","OSM"
"714","c. dels Reis Catòlics","39","Farmàcia Ferrer San José, Carles","pharmacy","equipament","41.5262992","2.113672","","+34937104336","","OSM"
"1185","c. de Goya","62","Farmàcia González Carnicer, Eulàlia","pharmacy","equipament","41.5263769","2.1087704","","+34937105097","","OSM"
"1587","ctra. de Barcelona","558","Farmàcia Brustenga Fortuny, Marta","pharmacy","equipament","41.5278502","2.1179897","","+34937104435","","OSM"
"1417","c. del Comte Jofre","30","Can Capablanca","restaurant","equipament","41.5433567","2.1011793","https://restaurantcancapablanca.cat/","+34 937 26 81 46","Tu-Sa 17:00-01:00","OSM"
"1589","c. de Baltarga","5","Casa Paco","bar","equipament","41.5714384","2.0815997","","","","OSM"
"1233","av. de Francesc Macià","58","El Corte Inglés","department_store","comerç","41.5544915","2.0979942","","","Mo-Sa 09:30-22:00","OSM"
"1502","av. de Can Bordoll","55","Com-Cal","trade","comerç","41.5435529","2.1301502","https://com-cal.com/","","","OSM"
"1359","c. del Doctor Puig","5","Sabway","department_store","comerç","41.5486241","2.1092596","https://sabway.es/","+34930185635","Mo-Fr 10:00-14:00, 17:00-20:00; Sa 10:00-14:00","OSM"
"966","via de Massagué","62","Massagué 62 - La Piazza","restaurant","equipament","41.5514598","2.1068172","https://massague62.com/","+34937251687","Mo-Su 13:00-17:00; We-Sa 20:00-0:00","OSM"
"619","c. de Sant Jaume","8","Librerío de la Plata","books","comerç","41.5462874","2.1049149","https://libreriodelaplata.com/","","","OSM"
"1421","pg. del Comerç","116","Car Condal Sabadell","car_repair","comerç","41.5294232","2.1072049","https://www.carcondal.com","+34931598427","Mo-Fr 08:00-13:00,15:00-17:00","OSM"
"1184","c. de Gràcia","65","Ofame (pizza takeaway)","restaurant","equipament","41.5480976","2.106707","https://www.ofame.es/","+34 937 06 36 69","Mo-Su 12:30-15:30, 19:00-23:00","OSM"
"1184","c. de Gràcia","67","Gelarte","ice_cream","equipament","41.5481547","2.1066664","","+34 679 78 35 47","Mo-Th 16:30-22:00; Fr, Sa 17:00-00:00; Su 13:00-15:30, 17:00-22:00","OSM"
"1184","c. de Gràcia","49","UDON","restaurant","equipament","41.5476905","2.107081","https://order.udon.com/es/restaurants/sabadell/udon-sabadell","+34 937 45 16 69","Mo-Su 13:00-16:30, 20:00-23:00","OSM"
"53","Riu Ripoll","28","Qui t'ho fa? Camper (Camperització Furgonetes)","car_repair","comerç","41.5433357","2.1261512","http://www.quithofacamper.com/","+34 628 61 88 88","","OSM"
"601","pl. de Sant Roc","5","Carreras","bakery","comerç","41.5465149","2.1078733","http://carrerasfornpa.com/","","Mo-Sa 07:00-21:00","OSM"
"797","c. de Permanyer","65","Centre d'Atenció Primària de Gràcia","clinic","equipament","41.5400635","2.0999081","","+34 937466087","","OSM"
"757","c. de Prat de la Riba","91","Restaurant Cooper","restaurant","equipament","41.5500541","2.0928118","https://restaurantcooper.com/","+34 937265028","Mo-Su 13:00-16:00; Th-Sa 20:30-23:30","OSM"
"631","c. de Sant Cugat","8","La Teca Burger","restaurant","equipament","41.5459029","2.1055216","","+34 931 41 50 26","","OSM"
"601","pl. de Sant Roc","16","Beagle","cafe","equipament","41.5462631","2.1080005","","+34 931 41 50 26","Tu-Su 09:45-20:00","OSM"
"1201","pl. del Gas","3","La Tete","cafe","equipament","41.5457299","2.1061513","","","","OSM"
"528","c. de Torras i Bages","9","Cyclosim","bicycle","comerç","41.5457318","2.1048555","","+34 611 490 319","","OSM"
